list_id|option_id|title|notes|CVX|Manufacturer|MVX|MVX-status|CDC_status|Updated-on
lists|cvx_mvx|CVX-MVX Validation|Source - https://www2.cdc.gov/vaccines/iis/iisstandards/vaccines.asp?rpt=tradename#prod
cvx_mvx|305-PFR|ABRYSVO|RSV, bivalent, protein subunit RSVpreF, diluent reconstituted, 0.5 mL, PF|305|Pfizer, Inc|PFR|Active|Active|2023/07/12|
cvx_mvx|75-MIP|ACAM2000|Vaccinia (smallpox, monkeypox), live|75|Emergent BioSolutions|MIP|Active|Active|2022/06/10|
cvx_mvx|75-ACA|ACAM2000|Vaccinia (smallpox, monkeypox), live|75|Acambis, Inc|ACA|Inactive|Inactive|2010/05/28|
cvx_mvx|20-ACEL-IMUNE|ACEL-IMUNE|DTaP|20        ||          |Inactive|Inactive|2010/09/01|
cvx_mvx|48-PMC|ACTHIB|Hib (PRP-T)|48|Sanofi Pasteur|PMC|Active|Active|2010/05/28|
cvx_mvx|115-PMC|ADACEL|Tdap|115|Sanofi Pasteur|PMC|Active|Active|2010/05/28|
cvx_mvx|143-BRR|Adenovirus types 4 and 7|Adenovirus types 4 and 7|143|Barr Laboratories|BRR|Inactive|Inactive|2019/07/30|
cvx_mvx|143-TVA|Adenovirus types 4 and 7|Adenovirus types 4 and 7|143|TEVA Pharmaceuticals USA |TVA|Active|Active|2019/07/23|
cvx_mvx|141-SEQ|Afluria|Influenza, split virus, trivalent, preservative|141|Seqirus|SEQ|Active|Inactive|2024/04/25|
cvx_mvx|141-CSL|AFLURIA|Influenza, split virus, trivalent, preservative|141|bioCSL|CSL|Inactive|Inactive|2016/09/26|
cvx_mvx|150-SEQ|Afluria quadrivalent, preservative free|Influenza, split virus, quadrivalent, PF|150|Seqirus|SEQ|Active|Active|2024/05/14|
cvx_mvx|161-SEQ|Afluria quadrivalent, preservative free, pediatric|Influenza, injectable,quadrivalent, preservative free, pediatric|161|Seqirus|SEQ|Active|Active|2024/05/14|
cvx_mvx|158-SEQ|Afluria quadrivalent, with preservative|Influenza, split virus, quadrivalent, preservative|158|Seqirus|SEQ|Active|Active|2024/05/14|
cvx_mvx|140-SEQ|Afluria trivalent, preservative free|Influenza, split virus, trivalent, PF|140|Seqirus|SEQ|Active|Active|2024/05/14|
cvx_mvx|141-SEQ|Afluria trivalent, with preservative|Influenza, split virus, trivalent, preservative|141|Seqirus|SEQ|Active|Active|2024/05/14|
cvx_mvx|140-SEQ|Afluria, preservative free|Influenza, split virus, trivalent, PF|140|Seqirus|SEQ|Active|Inactive|2022/12/15|
cvx_mvx|140-CSL|Afluria, preservative free|Influenza, split virus, trivalent, PF|140|bioCSL|CSL|Inactive|Inactive|2022/12/15|
cvx_mvx|140-NOV|AGRIFLU|Influenza, split virus, trivalent, PF|140|Novartis Pharmaceutical Corporation|NOV|Inactive|Inactive|2017/11/15|
cvx_mvx|303-SKB|Arexvy|RSV, recombinant, protein subunit RSVpreF, adjuvant reconstituted, 0.5 mL, PF|303|GlaxoSmithKline|SKB|Active|Active|2023/07/12|
cvx_mvx|801-SKB|AS03 adjuvant|AS03 Adjuvant|801|GlaxoSmithKline|SKB|Active|Inactive|2015/09/11|
